Team,Year,ResponsiveRev,TicketRevFB,ContribsFB,ConcessFB,SponsFB,CampsFB
Rutgers,2012,14335405,7868497,3374544,1050078,2042286,0
Rutgers,2013,11992796,6901892,1960869,1545371,1584664,0
Rutgers,2014,23737532,8767194,8113992,1543288,5313058,0
San Jose State,2010,1259376,808178,78924,241024,131250,0
San Jose State,2011,1124446,674238,159387,159571,131250,0
San Jose State,2012,1145662,576201,359376,200085,0,10000
San Jose State,2013,1389692,789683,321823,246799,0,31387
San Jose State,2014,5629194,1345171,3507536,287945,426791,61751
South Alabama,2013,742951,626189,5000,108122,0,3640
South Alabama,2014,2168373,1127264,726774,137409,176926,0
South Carolina,2010,40098030,16109980,20469733,2009697,1508620,0
South Carolina,2011,29295623,16581682,10401311,2312630,0,0
South Carolina,2012,29292269,16965806,9746213,2580250,0,0
South Carolina,2014,51777241,18429618,30203751,3143872,0,0
South Florida,2010,10264873,5648778,2127680,324087,2164328,0
South Florida,2011,9561813,4976326,2155948,346950,2082589,0
South Florida,2012,10518546,5425511,2239656,328556,2524823,0
South Florida,2013,9847372,5435288,1818013,321656,2272415,0
South Florida,2014,10601980,4119576,3719221,313900,2449283,0
Southern Mississippi,2010,2517489,2344956,591,147942,24000,0
Southern Mississippi,2011,2319368,2161450,1090,156828,0,0
Southern Mississippi,2012,2433412,2178161,52370,202881,0,0
Southern Mississippi,2013,3396779,2138093,1059784,188493,0,10409
Southern Mississippi,2014,5017891,1498393,3373697,129044,0,16757
Texas,2010,81842208,33120167,30148519,1773287,16408498,391737
Texas,2011,85413972,35567527,30237978,2007693,17243313,357461
Texas,2012,88972368,34063186,30334872,1869738,22361314,343258
Texas,2013,92469941,34416141,30273294,1520342,25934289,325875
Texas,2014,93424737,34089405,30921120,2573665,25550017,290530
Texas A&M,2010,34760197,26854370,5540572,1533997,407026,424232
Texas A&M,2011,35855887,27167945,5667868,1930199,614945,474930
Texas A&M,2012,40781187.5,29426925,8303577.5,2294479,457500,298706
Texas A&M,2013,38437692,30122030,5278616,2116329,500000,420717
Texas A&M,2014,48450499,30122030,15291423,2116329,500000,420717
Texas State,2013,1646366,1513982,97869,34515,0,0
Texas State,2014,3513791,707863,2776018,29910,0,0
Texas Tech,2010,22156286,12908743,8530819,457706,259018,0
Texas Tech,2011,22055754,13608849,7516439,842309,88157,0
Texas Tech,2012,23040373,12756765,9420671,793437,69500,0
Texas Tech,2013,21473758,9334687,11300199,778622,60250,0
Texas Tech,2014,37985571,9434804,27627158,913809,9800,0
Toledo,2010,1663964,1618272,0,9697,1895,34100
Toledo,2011,1051270,936134,0,74133,1903,39100
Toledo,2012,1184475,1117420,0,9959,2276,54820
Toledo,2013,1405443,1197038,146527,9248,2705,49925
Toledo,2014,3591640,824965,2581272,131106,0,54297
Troy,2010,1522847,853244,651508,0,0,18095
Troy,2011,1201820,602540,575937,4249,0,19094
Troy,2012,1470592,740248,705510,4404,0,20430
Troy,2013,1424162,700991,668156,4670,0,50345
Troy,2014,2693459,399394,2268841,4279,0,20945
UCLA,2010,11563645,10552594,225862,652493,0,132696
UCLA,2011,13138012,12294579,163103,622184,0,58146
UCLA,2012,11022130,10011854,329521,624279,0,56476
UCLA,2013,18409714,16884930,604343,847233,0,73208
UCLA,2014,27322623,10631721,16229179,372042,0,89681
UNLV,2010,4598773,2042693,469084,775691,1311305,0
UNLV,2011,5109045,2577155,604742,760889,1166259,0
UNLV,2012,1512155,848722,471368,16598,175467,0
UNLV,2013,3419430,1663260,119500,709364,927306,0
