Survey Year,Institution Name,Classification Name,Football Total Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2005,University of Louisiana at Lafayette,NCAA Division I-A,1484262,5294369,8033380
2005,University of Louisiana at Monroe,NCAA Division I-A,2063937,3968595,7220225
2005,University of Louisville,NCAA Division I-A,16331615,9665893,48322617
2005,University of Massachusetts-Amherst,NCAA Division I-AA,388812,17897105,20070489
2005,University of Memphis,NCAA Division I-A,5098671,17106655,27155528
2005,University of Miami,NCAA Division I-A,15512749,18856829,41612310
2005,University of Michigan-Ann Arbor,NCAA Division I-A,50365537,23761648,85452441
2005,University of Minnesota-Twin Cities,NCAA Division I-A,16679279,19027648,56914887
2005,University of Mississippi Main Campus,NCAA Division I-A,16563825,8488488,29412948
2005,University of Missouri-Columbia,NCAA Division I-A,14977244,21725217,45184835
2005,University of Nebraska at Lincoln,NCAA Division I-A,22404640,36654420,64110157
2005,University of Nevada-Las Vegas,NCAA Division I-A,2122421,15146537,23622540
2005,University of Nevada-Reno,NCAA Division I-A,3583907,11966422,19910766
2005,University of New Mexico-Main Campus,NCAA Division I-A,7245875,6591117,24997808
2005,University of North Carolina at Chapel Hill,NCAA Division I-A,17407010,13401935,54100487
2005,University of North Carolina at Charlotte,NCAA Division I-AAA,,7707560,9102262
2005,University of North Texas,NCAA Division I-A,1502423,13338071,15101363
2005,University of Notre Dame,NCAA Division I-A,61463627,11316842,78150243
2005,University of Oklahoma Norman Campus,NCAA Division I-A,33757486,22632592,64521972
2005,University of Oregon,NCAA Division I-A,18939177,20278478,45116269
2005,University of Pittsburgh-Main Campus,NCAA Division I-A,19768430,4826051,33170296
2005,University of South Alabama,NCAA Division I-AAA,,3811061,7378139
2005,University of South Carolina-Columbia,NCAA Division I-A,33051529,0,53098347
2005,University of South Florida,NCAA Division I-A,8828336,13081439,25843846
2005,University of Southern California,NCAA Division I-A,27777249,33234424,65434875
2005,University of Southern Mississippi,NCAA Division I-A,2697530,15949952,19600104
2005,University of Toledo-Main Campus,NCAA Division I-A,7245746,1469772,16807163
2005,University of Tulsa,NCAA Division I-A,5483664,6801097,18169019
2005,University of Utah,NCAA Division I-A,9346045,9027371,25133885
2005,University of Virginia-Main Campus,NCAA Division I-A,19630240,50480475,92655581
2005,University of Washington-Seattle Campus,NCAA Division I-A,31786983,7621194,52441834
2005,University of Wisconsin-Madison,NCAA Division I-A,34277690,22716900,78938572
2005,University of Wyoming,NCAA Division I-A,7248390,6066233,21151898
2005,Utah State University,NCAA Division I-A,1148638,9700706,11786082
2005,Vanderbilt University,NCAA Division I-A,15132937,14736084,40373883
2005,Virginia Polytechnic Institute and State University,NCAA Division I-A,25955316,11255489,48543003
2005,Wake Forest University,NCAA Division I-A,7924058,17662377,34531656
2005,Washington State University,NCAA Division I-A,10854021,14064106,29704028
2005,West Virginia University,NCAA Division I-A,22143869,19884255,49917536
2005,Western Kentucky University,NCAA Division I-AA,2713921,6653753,16081045
2005,Western Michigan University,NCAA Division I-A,1419840,15823371,18511424
2006,Appalachian State University,NCAA Division I-AA,4554223,649065,9616056
2006,Arizona State University at the Tempe Campus,NCAA Division I-A,23519742,21661297,53473276
2006,Arkansas State University-Main Campus,NCAA Division I-A,3576338,2368394,10086859
2006,Auburn University Main Campus,NCAA Division I-A,56830516,18564440,81696758
