team,year,srs,lagged_srs,stateunemp,stadium_cap,num_homegames,coach_experience,conf_coy,nat_coy,new_coach
washingtonstate,2013,5.09,-6.89,7.033333333,"32,740",5,11,1,0,0
washingtonstate,2014,-1.54,5.09,6.125,"32,740",6,12,1,0,0
westernmichigan,2010,-4.1,-10.53,12.575,30200,6,5,1,0,0
westernmichigan,2011,0.42,-4.1,10.3916667,30200,5,6,1,0,0
westernmichigan,2012,-9.54,0.42,9.125,30200,6,7,1,0,0
westernmichigan,2013,-19.16,-9.54,8.78333333,"30,200",5,0,0,0,1
westernmichigan,2014,-1.79,-19.16,7.23333333,"30,200",5,1,1,0,0
wisconsin,2010,14.02,8.19,8.64166667,80321,7,4,1,0,0
wisconsin,2011,15.89,14.02,7.75833333,80321,7,5,1,0,0
wisconsin,2012,9.77,15.89,7.03333333,80321,7,6,1,0,0
wisconsin,2013,14.2,9.77,6.7,"80,321",7,4,1,0,1
wisconsin,2014,12.7,14.2,5.41666667,"80,321",7,5,1,0,0
wku,2010,-15.37,-20.88,10.16666667,22113,5,0,0,0,1
wku,2011,-6.18,-15.37,9.375,22113,6,1,0,0,0
wku,2012,-1.5,-6.18,8.166666667,22113,6,2,0,0,0
