Program,Year,ResponsiveRev,TwoStars,ThreeStars,FourStars,FiveStars,srs,lagged_srs,stateunemp,stadium_cap,stadium_years_open,stadium_years_rennovation,num_homegames,coach_experience,conf_coy,nat_coy,coach_years_at_school,new_coach,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,power
Maryland,2013,7875757,21,55,11,2,0.64,-6.59,6.57,51802,63,5,6,14,1,0,2,0,2966327,90.67,1.011351749,0,0,1
Maryland,2014,18025236,23,50,10,3,1.58,0.64,5.81,51802,64,6,6,15,1,0,3,0,2985122.5,90.77,1.004983883,0,0,1
Memphis,2010,3508291,57,35,2,0,-19.43,-12.06,9.63,62380,45,23,6,0,0,0,0,1,1588970.5,89.79,0.472003728,1,0,0
Memphis,2011,3135194,51,47,2,0,-18.17,-19.43,8.97,61000,46,24,6,1,0,0,1,0,1599070.25,87.5,0.469022546,1,0,0
Memphis,2012,2345126,54,51,2,0,-11.09,-18.17,7.83,62380,47,25,6,0,0,0,0,1,1612658,87.99,0.465070709,1,0,0
Memphis,2013,2434823,63,48,1,0,-7.41,-11.09,7.73,59308,48,26,7,1,0,0,1,0,1622698.75,88,0.462192998,1,0,0
Memphis,2014,13732984,69,38,0,0,7.22,-7.41,6.59,59308,49,27,6,2,1,0,2,0,1635001.75,88.3,0.458715105,1,0,0
Michigan,2010,55386135,5,44,41,3,1.41,-1.51,12.58,109901,83,0,7,9,1,0,2,0,1975346.2,91.2,0.4049923,0,0,1
Michigan,2011,60121624,5,45,42,1,16.27,1.41,10.39,109901,84,1,8,8,1,0,0,1,1975239.8,90.9,0.405014115,0,0,1
Michigan,2012,71536996,4,52,35,3,10.01,16.27,9.13,109901,85,2,6,9,1,0,1,0,1977322,91.04,0.404587619,0,0,1
Michigan,2014,83951859,3,43,38,4,1.82,5.53,7.23,109901,87,4,7,11,1,0,3,0,1982935,91.41,0.403442372,0,0,1
Michigan State,2010,29962391,23,47,18,1,9.91,2.52,12.58,75005,87,5,8,6,1,0,3,0,1975346.2,91.2,0.4049923,0,0,1
Michigan State,2011,28681179,17,52,17,1,10.05,9.91,10.39,75005,88,6,7,7,1,0,4,0,1975239.8,90.9,0.405014115,0,0,1
